Target,Split,Model,n_train,n_test,MCC,AUROC,AUPRC,BalAcc
AChE,random,RandomForest,3728,932,0.6058212763903451,0.8902214923855882,0.932374728142751,0.8066975543956366
AChE,random,XGBoost,3728,932,0.5332158504501153,0.8685560964166325,0.918479276957213,0.7612163509471586
AChE,random,SVM,3728,932,0.5730330306580735,0.8710754989932163,0.912425451435787,0.7838152210036557
AChE,random,FFNN,3728,932,0.5609663150799795,0.863439094481262,0.909062724188668,0.7877201728148886
AChE,scaffold,RandomForest,3728,932,0.5443571574190433,0.8513112803426941,0.8935811701956522,0.7738362684435983
AChE,scaffold,XGBoost,3728,932,0.4009110374793795,0.8128700618752975,0.867063456284116,0.6872346501665874
AChE,scaffold,SVM,3728,932,0.46083858352106544,0.8315587815326034,0.8760681706951339,0.7127605901951453
AChE,scaffold,FFNN,3728,932,0.46890714169884484,0.8155188005711564,0.8577995112646819,0.7357306044740599
AChE,np_holdout,RandomForest,4248,412,0.21274937086746845,0.6776768867924529,0.6884569868860246,0.6034905660377359
AChE,np_holdout,XGBoost,4248,412,0.1292649686406447,0.6287146226415095,0.631891766984227,0.5634905660377358
AChE,np_holdout,SVM,4248,412,0.1074077599397275,0.6703419811320754,0.6795094279661391,0.5445754716981132
AChE,np_holdout,FFNN,4248,412,0.3193039700449158,0.7013325471698113,0.6814282668492344,0.6586320754716981
5LOX,random,RandomForest,1700,425,0.5818628051825823,0.8740792540792541,0.9182351854028532,0.7961538461538462
5LOX,random,XGBoost,1700,425,0.5506519483594567,0.8680652680652681,0.9131947788167571,0.7726689976689977
5LOX,random,SVM,1700,425,0.555319869628773,0.8487878787878789,0.8841560555195511,0.7821095571095571
5LOX,random,FFNN,1700,425,0.5764134272798758,0.8622610722610722,0.9122509457746377,0.7956876456876456
5LOX,scaffold,RandomForest,1692,433,0.5222504783965624,0.8452221850985633,0.912415495832836,0.7720037229726504
5LOX,scaffold,XGBoost,1692,433,0.5332069421755227,0.8344828409145149,0.9087390757012701,0.7707388668798625
5LOX,scaffold,SVM,1692,433,0.4705464249737255,0.8159992363133025,0.8802128988081885,0.736432628514152
5LOX,scaffold,FFNN,1692,433,0.3987066050860534,0.8041740251062002,0.891040786518045,0.7097035941005203
5LOX,np_holdout,RandomForest,1724,401,0.371124916499338,0.7116119174942703,0.7661623853352602,0.6873822256175197
5LOX,np_holdout,XGBoost,1724,401,0.14349299230850612,0.6441685765215176,0.7143188651392833,0.5722816399286987
5LOX,np_holdout,SVM,1724,401,0.1454589068928297,0.685485103132162,0.7308116927131302,0.5726126814362108
5LOX,np_holdout,FFNN,1724,401,0.22293731754225415,0.6953908836261777,0.7437433087320655,0.6106824548001019
COX2,random,RandomForest,2947,737,0.5788823054850983,0.8661273100616016,0.9229891646588047,0.7891581108829568
COX2,random,XGBoost,2947,737,0.5539540117182226,0.8596427104722792,0.9150408287411129,0.7559055441478439
COX2,random,SVM,2947,737,0.5312424631856052,0.8372895277207391,0.9031230544962614,0.7563983572895276
COX2,random,FFNN,2947,737,0.5105070436149232,0.8447967145790555,0.9103987500538067,0.7632238193018481
COX2,scaffold,RandomForest,2947,737,0.41110681224094203,0.7841313002061563,0.8934605658536823,0.719187637733703
COX2,scaffold,XGBoost,2947,737,0.32300187154920235,0.7395144664818368,0.8802067871118,0.6592246036823772
COX2,scaffold,SVM,2947,737,0.2832950961746415,0.7284779981517027,0.8589487763703408,0.6259108196488234
COX2,scaffold,FFNN,2947,737,0.3816339942018031,0.7632846378047914,0.878758640328356,0.7085776995805786
COX2,np_holdout,RandomForest,3513,171,0.2921598318285926,0.6863363363363363,0.6207156701013724,0.6317567567567568
COX2,np_holdout,XGBoost,3513,171,0.2841608947071138,0.7192942942942943,0.6252059242610377,0.6486486486486487
COX2,np_holdout,SVM,3513,171,0.15512581324520325,0.68978978978979,0.6385330510493061,0.5626126126126126
COX2,np_holdout,FFNN,3513,171,0.13108899690230835,0.6270270270270271,0.44325659865115385,0.5666666666666667
